pandas	1.0.2	BSD-3-Clause	2008	"AQR Capital Management, LLC, Lambda Foundry, Inc. and PyData Development Team"	https://github.com/pandas-dev/pandas/blob/master/LICENSE
pdfkit	0.6.1	MIT	2012	JazzCore	https://github.com/JazzCore/python-pdfkit/blob/master/LICENSE
SQLAlchemy	2.23.0	MIT	2005	SQLAlchemy authors and contributors <see AUTHORS file>	https://github.com/sqlalchemy/sqlalchemy/blob/master/LICENSE
matplotlib	3.2.1	original_matplotlib	2012	Matplotlib Development Team	https://github.com/matplotlib/matplotlib/blob/master/LICENSE/LICENSE
wkhtmltopdf	0.12.6	GNU_Lesser_General_Public_License_v3.0	2007	"Free Software Foundation, Inc."	https://github.com/wkhtmltopdf/wkhtmltopdf/blob/master/LICENSE
apache-airflow	1.10.9	Apache_License_2.0	2016	The Apache Software Foundation	https://github.com/apache/airflow/blob/master/LICENSE
pytz	2020.1	MIT	2008	Stuart Bishop.	https://pythonhosted.org/pytz/#license
pyOpenSSL	19.1.0	Apache_License_2.0	2001	The pyOpenSSL developers.	https://github.com/pyca/pyopenssl/blob/da402f4a545256c5dfe78448c75dcf47fcd0b4d3/LICENSE
ndg-httpsclient	0.5.1	BSD-3-Clause	2012	Science & Technology Facilities Council (STFC)	https://github.com/cedadev/ndg_httpsclient/blob/master/ndg/httpsclient/LICENSE
pyasn1	0.4.8	BSD-2-Clause	2005	Ilya Etingof	https://github.com/etingof/pyasn1/blob/master/LICENSE.rst
werkzeug	0.16.0	BSD-3-Clause	2007	Pallets	https://github.com/pallets/werkzeug/blob/master/LICENSE.rst
absl-py	0.10.0	Apache_License_2.0	2017	Google Inc.	https://github.com/abseil/abseil-py/blob/master/LICENSE
redis	3.2	MIT	2012	Andy McCurdy	https://github.com/andymccurdy/redis-py/blob/master/LICENSE
docker	4.2.0	Apache_License_2.0	2016	Docker Inc.	https://github.com/docker/docker-py/blob/master/LICENSE
postgres	12-alpine	MIT	2014	Docker PostgreSQL Authors (See AUTHORS)	https://github.com/docker-library/postgres/blob/master/LICENSE
postgres	10-alpine	MIT	2014	Docker PostgreSQL Authors (See AUTHORS)	https://github.com/docker-library/postgres/blob/master/LICENSE
pgadmin4	4	PostgreSQL_License	2013	The pgAdmin Development Team	https://www.pgadmin.org/docs/pgadmin4/latest/licence.html#licence
registry	2.7.1	Apache_License_2.0	2015	Docker Inc.	https://docs.docker.com/registry/#what-it-is
requests	2.23.0	Apache_License_2.0	2011	"MMXVIX, A Kenneth Reitz Project, Python Software Foundation"	https://github.com/psf/requests/blob/master/LICENSE
numpy	1.18.2	BSD-3-Clause	2005	NumPy Developers.	https://github.com/numpy/numpy/blob/master/LICENSE.txt
ptvsd	4.3.2	MIT	2017	Microsoft Corporation	https://github.com/microsoft/ptvsd/blob/master/LICENSE
nose2	0.9.2	BSD-2-Clause	2012	Jason Pellerin	https://github.com/nose-devs/nose2/blob/master/license.txt
keras	2.4.3	MIT	2015	François Chollet.	https://github.com/keras-team/keras/blob/master/LICENSE
nbconvert	6.0.7	BSD-3-Clause	"2001-2015 IPython Development Team, 2015- Jupyter Development Team"		https://github.com/jupyter/nbconvert/blob/master/LICENSE
